time,lon,lat,PMSL
01/07/1979 (00:00),-117.261,43.6372,102955
01/07/1979 (00:00),-116.864,43.6762,103029
01/07/1979 (00:00),-116.466,43.7136,102986
01/07/1979 (00:00),-116.067,43.7494,102781
01/07/1979 (00:00),-115.668,43.7838,102456
01/07/1979 (00:00),-115.268,43.8166,102203
01/07/1979 (00:00),-114.868,43.8478,102090
01/07/1979 (00:00),-114.468,43.8775,102154
01/07/1979 (00:00),-114.067,43.9057,102223
01/07/1979 (00:00),-113.665,43.9323,102362
01/07/1979 (00:00),-113.263,43.9574,102584
01/07/1979 (00:00),-112.861,43.9809,102794
01/07/1979 (00:00),-128.193,42.2232,101244
01/07/1979 (00:00),-127.817,42.3034,101284
01/07/1979 (00:00),-127.44,42.3822,101321
01/07/1979 (00:00),-127.062,42.4597,101357
01/07/1979 (00:00),-126.683,42.5357,101393
01/07/1979 (00:00),-126.303,42.6103,101428
01/07/1979 (00:00),-125.922,42.6835,101461
01/07/1979 (00:00),-125.54,42.7553,101496
01/07/1979 (00:00),-125.157,42.8257,101526
01/07/1979 (00:00),-124.773,42.8946,101550
01/07/1979 (00:00),-124.388,42.9621,101561
01/07/1979 (00:00),-124.002,43.0282,101563
01/07/1979 (00:00),-123.616,43.0928,101567
01/07/1979 (00:00),-123.228,43.1559,101584
01/07/1979 (00:00),-122.839,43.2176,101613
01/07/1979 (00:00),-122.45,43.2778,101637
01/07/1979 (00:00),-122.06,43.3366,101693
01/07/1979 (00:00),-121.668,43.3938,101838
01/07/1979 (00:00),-121.276,43.4496,102002
01/07/1979 (00:00),-120.884,43.5039,102157
01/07/1979 (00:00),-120.49,43.5567,102352
01/07/1979 (00:00),-120.096,43.608,102476
01/07/1979 (00:00),-119.701,43.6578,102518
01/07/1979 (00:00),-119.305,43.7061,102472
01/07/1979 (00:00),-118.909,43.7529,102488
01/07/1979 (00:00),-118.512,43.7981,102612
01/07/1979 (00:00),-118.114,43.8419,102757
01/07/1979 (00:00),-117.715,43.8841,102900
01/07/1979 (00:00),-117.316,43.9248,103008
01/07/1979 (00:00),-116.917,43.964,103045
01/07/1979 (00:00),-116.517,44.0016,102952
01/07/1979 (00:00),-116.116,44.0377,102732
01/07/1979 (00:00),-115.715,44.0722,102476
01/07/1979 (00:00),-115.313,44.1052,102263
01/07/1979 (00:00),-114.911,44.1366,102207
01/07/1979 (00:00),-114.508,44.1665,102319
01/07/1979 (00:00),-114.105,44.1948,102385
01/07/1979 (00:00),-113.701,44.2216,102440
01/07/1979 (00:00),-113.297,44.2468,102565
01/07/1979 (00:00),-112.893,44.2705,102674
01/07/1979 (00:00),-128.302,42.5011,101251
01/07/1979 (00:00),-127.925,42.5817,101290
01/07/1979 (00:00),-127.546,42.661,101325
01/07/1979 (00:00),-127.167,42.7389,101361
01/07/1979 (00:00),-126.786,42.8153,101396
01/07/1979 (00:00),-126.404,42.8904,101429
01/07/1979 (00:00),-126.021,42.964,101461
01/07/1979 (00:00),-125.637,43.0362,101494
01/07/1979 (00:00),-125.253,43.107,101525
01/07/1979 (00:00),-124.867,43.1763,101551
01/07/1979 (00:00),-124.48,43.2442,101567
01/07/1979 (00:00),-124.092,43.3106,101574
01/07/1979 (00:00),-123.704,43.3756,101581
01/07/1979 (00:00),-123.314,43.4391,101596
01/07/1979 (00:00),-122.923,43.5011,101616
01/07/1979 (00:00),-122.532,43.5617,101658
01/07/1979 (00:00),-122.14,43.6208,101733
01/07/1979 (00:00),-121.747,43.6784,101902
01/07/1979 (00:00),-121.353,43.7345,102071
01/07/1979 (00:00),-120.958,43.7891,102269
01/07/1979 (00:00),-120.562,43.8422,102375
01/07/1979 (00:00),-120.166,43.8938,102481
01/07/1979 (00:00),-119.769,43.9439,102459
01/07/1979 (00:00),-119.371,43.9925,102364
01/07/1979 (00:00),-118.973,44.0395,102337
01/07/1979 (00:00),-118.574,44.0851,102420
01/07/1979 (00:00),-118.174,44.1291,102620
01/07/1979 (00:00),-117.773,44.1715,102806
01/07/1979 (00:00),-117.372,44.2125,102947
01/07/1979 (00:00),-116.97,44.2518,102987
01/07/1979 (00:00),-116.568,44.2897,102920
01/07/1979 (00:00),-116.165,44.326,102677
01/07/1979 (00:00),-115.762,44.3607,102423
01/07/1979 (00:00),-115.358,44.3939,102294
01/07/1979 (00:00),-114.954,44.4255,102327
01/07/1979 (00:00),-114.549,44.4556,102416
01/07/1979 (00:00),-114.143,44.4841,102519
01/07/1979 (00:00),-113.738,44.511,102591
