time,lon,lat,H500
01/01/1979 (00:00),-128.193,42.2232,5674.21
01/01/1979 (00:00),-127.817,42.3034,5671.21
01/01/1979 (00:00),-127.44,42.3822,5667.71
01/01/1979 (00:00),-127.062,42.4597,5663.71
01/01/1979 (00:00),-126.683,42.5357,5659.71
01/01/1979 (00:00),-126.303,42.6103,5655.21
01/01/1979 (00:00),-125.922,42.6835,5650.21
01/01/1979 (00:00),-125.54,42.7553,5645.21
01/01/1979 (00:00),-125.157,42.8257,5639.71
01/01/1979 (00:00),-124.773,42.8946,5633.71
01/01/1979 (00:00),-124.388,42.9621,5627.21
01/01/1979 (00:00),-124.002,43.0282,5621.21
01/01/1979 (00:00),-123.616,43.0928,5613.71
01/01/1979 (00:00),-123.228,43.1559,5605.21
01/01/1979 (00:00),-122.839,43.2176,5597.21
01/01/1979 (00:00),-122.45,43.2778,5588.71
01/01/1979 (00:00),-122.06,43.3366,5578.71
01/01/1979 (00:00),-121.668,43.3938,5566.21
01/01/1979 (00:00),-121.276,43.4496,5553.21
01/01/1979 (00:00),-120.884,43.5039,5540.21
01/01/1979 (00:00),-120.49,43.5567,5525.21
01/01/1979 (00:00),-120.096,43.608,5509.71
01/01/1979 (00:00),-119.701,43.6578,5493.71
01/01/1979 (00:00),-119.305,43.7061,5479.21
01/01/1979 (00:00),-118.909,43.7529,5463.71
01/01/1979 (00:00),-118.512,43.7981,5448.21
01/01/1979 (00:00),-118.114,43.8419,5433.21
01/01/1979 (00:00),-117.715,43.8841,5418.21
01/01/1979 (00:00),-117.316,43.9248,5404.71
01/01/1979 (00:00),-116.917,43.964,5393.21
01/01/1979 (00:00),-116.517,44.0016,5384.71
01/01/1979 (00:00),-116.116,44.0377,5378.71
01/01/1979 (00:00),-115.715,44.0722,5372.71
01/01/1979 (00:00),-115.313,44.1052,5368.21
01/01/1979 (00:00),-114.911,44.1366,5363.21
01/01/1979 (00:00),-114.508,44.1665,5355.71
01/01/1979 (00:00),-114.105,44.1948,5349.71
